"AREA_HA","CODIGO_VER","COD_DPTO","DESCRIPCIO","DPTOMPIO","FUENTE","NOMBRE_VER","NOMB_MPIO","NOM_DEP","OBJECTID","OBSERVACIO","SEUDONIMOS","VIGENCIA","cat","MOD2015A","MOD2015B","MOD2016A","MOD2016B","MOD2017A","MOD2017B","MOD2018A"
234.020626431,63111007,63,"NULL",63111,"POT_BUENAVISTA","LOS JUANES","BUENAVISTA","QUINDÍO",6092,"",1,"2010",5999,21.9121142203393,23.5420395905569,22.6774666227292,21.5126637454454,21.4288082902808,21.9548624671665,21.9400244703076
1841.8622844,63130002,63,"NULL",63130,"POT CALARCA","BARRAGAN","CALARCÁ","QUINDÍO",6104,"",1,"2010",6011,18.8451639495006,21.2181925032379,19.5118534987274,18.7726116353315,18.4384891311786,18.7459830687662,18.6076193983346
545.469735333,63212009,63,"NULL",63212,"POT","LA ESPAÑOLA","CÓRDOBA","QUINDÍO",6163,"",1,"2010",6070,15.5831111016743,17.1238320079689,16.190331537445,14.9161104680018,14.9514543725798,15.234482899938,15.0778226981364
1213.72303883,63401008,63,"NULL",63401,"POT LA TEBAIDA","PISAMAL","LA TEBAIDA","QUINDÍO",6223,"",1,"2010",6130,23.2271328461977,24.9618668792654,24.0984768080189,23.1788569030369,22.3032072378701,22.842072663132,23.1201851515646
4270.70507974,63548011,63,"NULL",63548,"POT_PIJAO","MAIZENA","PIJAO","QUINDÍO",6241,"",1,"2010",6148,15.2193951420486,16.9601304177122,15.9446248923897,14.4498887860957,14.409038320525,14.8267998345084,14.8669990646869
125.46545745,63594011,63,"NULL",63594,"POT QUIMBAYA","LA AUSTRALIA","QUIMBAYA","QUINDÍO",6257,"",1,"2010",6164,22.670292822506,24.7212285678416,23.5912743513915,22.5839355869988,21.8706684503531,22.3329387249698,22.6065301377735
303.334058126,63690007,63,"NULL",63690,"POT SALENTO","EL AGRADO","SALENTO","QUINDÍO",6285,"",1,"2010",6192,14.5908290294031,16.0610666442883,14.932529264844,13.7477116325292,13.0722421058521,13.6719161230837,13.532769196648
80.5493817485,63001031,63,"NULL",63001,"POT 2017","MESOPOTAMIA","ARMENIA","QUINDÍO",6091,"",1,"2017",5998,14.5908290294031,16.0610666442883,14.932529264844,13.7477116325292,13.0722421058521,13.6719161230837,13.532769196648
495.884228379,5819002,5,"NULL",5819,"CATASTRO ANTIOQUIA","BIOGUI","TOLEDO","ANTIOQUIA",23304,"",1,"1998",23070,23.4678582864724,22.8745324181269,24.270253572735,21.7129226868347,21.994818491335,20.8586476596711,22.3399570967415
154.770239369,5656022,5,"NULL",5656,"POT","MESTIZAL","SAN JERÓNIMO","ANTIOQUIA",22524,"",1,"1999",22290,22.0823073254466,21.9734374097811,23.2751219412624,20.811967750276,21.3858291822814,20.2205831413807,21.7232913581362
